date,gyro_x,gyro_y,gyro_z
2013-04-28,49,8,176
2013-04-29,49,8,176
2013-04-30,49,8,176
2013-05-01,49,8,176
2013-05-02,49,8,176
2013-05-03,49,8,176
2013-05-04,49,8,176
2013-05-05,49,8,176
2013-05-06,49,8,176
2013-05-07,49,8,176
2013-05-08,49,8,176
2013-05-09,49,8,176
2013-05-10,49,8,176
2013-05-11,49,8,176
2013-05-12,49,8,176
2013-05-13,49,8,176
2013-05-14,49,8,176
2013-05-15,49,8,176
2013-05-16,49,8,176
2013-05-17,49,8,176
2013-05-18,49,8,176
2013-05-19,49,8,176
2013-05-20,49,8,176
2013-05-21,49,8,176
2013-05-22,49,8,176
2013-05-23,49,8,176
2013-05-24,49,8,176
2013-05-25,49,8,176
2013-05-26,49,8,176
2013-05-27,49,8,176
2013-05-28,49,8,176
2013-05-29,49,8,176
2013-05-30,49,8,176
2013-05-31,49,8,176
2013-06-01,49,8,176
2013-06-02,49,8,176
2013-06-03,49,8,176
2013-06-04,49,8,176
2013-06-05,49,8,176
2013-06-06,49,8,176
2013-06-07,49,8,176
2013-06-08,49,8,176
2013-06-09,49,8,176
2013-06-10,49,8,176
2013-06-11,49,8,176
2013-06-12,49,8,176
2013-06-13,49,8,176
2013-06-14,49,8,176
2013-06-15,49,8,176
2013-06-16,49,8,176
2013-06-17,49,8,176
2013-06-18,49,8,176
2013-06-19,49,8,176
2013-06-20,49,8,176
2013-06-21,49,8,176
2013-06-22,49,8,176
2013-06-23,49,8,176
2013-06-24,49,8,176
2013-06-25,49,8,176
2013-06-26,49,8,175
2013-06-27,49,7,175
2013-06-28,49,7,175
2013-06-29,49,6,175
2013-06-30,49,6,175
2013-07-01,49,6,175
2013-07-02,49,6,175
2013-07-03,49,7,175
2013-07-04,48,9,177
2013-07-05,47,13,179
2013-07-06,46,18,-179
2013-07-07,44,22,-178
2013-07-08,43,27,-176
2013-07-09,42,33,-176
2013-07-10,42,38,-175
2013-07-11,47,46,-176
2013-07-12,42,53,-178
2013-07-13,39,57,179
2013-07-14,35,63,175
2013-07-15,30,69,170
2013-07-16,27,74,163
2013-07-17,24,78,153
2013-07-18,21,82,136
2013-07-19,18,84,174
2013-07-20,14,83,6
2013-07-21,10,81,60
2013-07-22,6,79,58
2013-07-23,2,76,59
2013-07-24,358,74,59
2013-07-25,353,70,57
2013-07-26,346,65,55
2013-07-27,342,62,54
2013-07-28,337,59,54
2013-07-29,333,55,56
2013-07-30,329,52,58
2013-07-31,326,48,60
2013-08-01,321,44,62
2013-08-02,318,41,64
2013-08-03,314,38,65
2013-08-04,310,35,67
2013-08-05,307,33,68
2013-08-06,304,30,70
2013-08-07,204,25,72
2013-08-08,200,21,72
2013-08-09,196,17,72
2013-08-10,192,14,69
2013-08-11,190,12,65
2013-08-12,188,9,61
2013-08-13,186,7,58
2013-08-14,186,6,56
2013-08-15,185,5,53
2013-08-16,184,4,51
2013-08-17,183,2,48
2013-08-18,181,0,45
2013-08-19,179,-2,44
2013-08-20,177,-5,44
2013-08-21,175,-8,44
2013-08-22,172,-11,44
2013-08-23,170,-15,43
2013-08-24,168,-20,41
2013-08-25,167,-23,39
2013-08-26,166,-27,38
2013-08-27,166,-29,36
2013-08-28,166,-32,35
2013-08-29,165,-38,33
2013-08-30,166,-42,32
2013-08-31,166,-45,31
2013-09-01,165,-49,32
2013-09-02,165,-52,34
2013-09-03,164,-55,38
2013-09-04,163,-60,44
2013-09-05,162,-62,49
2013-09-06,160,-64,57
2013-09-07,159,-66,67
2013-09-08,157,-67,77
2013-09-09,154,-68,90
2013-09-10,152,-68,98
2013-09-11,149,-68,104
2013-09-12,147,-67,109
2013-09-13,145,-66,109
2013-09-14,145,-64,110
2013-09-15,146,-62,106
2013-09-16,150,-59,101
2013-09-17,154,-55,95
2013-09-18,160,-48,90
2013-09-19,166,-42,86
2013-09-20,170,-38,84
2013-09-21,173,-33,85
2013-09-22,175,-29,86
2013-09-23,176,-26,88
2013-09-24,180,-20,90
2013-09-25,182,-15,92
2013-09-26,186,-11,94
2013-09-27,188,-7,95
2013-09-28,191,-3,96
2013-09-29,194,0,96
2013-09-30,198,4,95
2013-10-01,202,9,95
2013-10-02,208,14,94
2013-10-03,213,20,93
2013-10-04,218,25,92
2013-10-05,224,31,90
2013-10-06,229,36,87
2013-10-07,231,39,86
2013-10-08,235,43,85
2013-10-09,238,45,87
2013-10-10,241,48,93
2013-10-11,243,48,102
2013-10-12,244,47,114
2013-10-13,248,46,125
2013-10-14,249,43,135
2013-10-15,252,41,141
2013-10-16,258,39,148
2013-10-17,323,35,153
2013-10-18,324,31,155
2013-10-19,326,24,159
2013-10-20,329,15,162
2013-10-21,331,9,165
2013-10-22,334,2,166
2013-10-23,335,0,167
2013-10-24,336,0,167
2013-10-25,336,0,167
2013-10-26,336,-1,166
2013-10-27,337,-3,166
2013-10-28,338,-5,167
2013-10-29,339,-8,168
2013-10-30,341,-8,169
2013-10-31,343,-8,167
2013-11-01,343,-7,165
2013-11-02,343,-3,162
2013-11-03,343,-1,157
2013-11-04,343,0,155
2013-11-05,343,1,152
2013-11-06,344,3,148
2013-11-07,344,3,146
2013-11-08,343,5,143
2013-11-09,343,6,139
2013-11-10,343,7,137
2013-11-11,184,8,133
2013-11-12,184,8,129
2013-11-13,183,7,126
2013-11-14,180,6,123
2013-11-15,178,5,120
2013-11-16,176,3,115
2013-11-17,175,2,110
2013-11-18,174,1,107
2013-11-19,172,0,105
2013-11-20,170,-1,102
2013-11-21,168,-3,99
2013-11-22,169,-3,95
2013-11-23,169,-3,92
2013-11-24,169,-4,90
2013-11-25,169,-5,87
2013-11-26,168,-7,84
2013-11-27,167,-8,80
2013-11-28,168,-10,76
2013-11-29,168,-12,72
2013-11-30,168,-13,69
2013-12-01,168,-15,66
2013-12-02,168,-16,64
2013-12-03,168,-18,62
2013-12-04,169,-20,59
2013-12-05,170,-21,57
2013-12-06,170,-24,54
2013-12-07,171,-27,52
2013-12-08,172,-28,50
2013-12-09,174,-30,47
2013-12-10,176,-32,45
2013-12-11,178,-32,44
2013-12-12,181,-33,41
2013-12-13,183,-34,38
2013-12-14,186,-32,35
2013-12-15,189,-32,32
2013-12-16,193,-30,29
2013-12-17,195,-29,26
2013-12-18,200,-26,21
2013-12-19,203,-24,16
2013-12-20,207,-22,12
2013-12-21,212,-18,6
2013-12-22,216,-17,1
2013-12-23,220,-16,-1
2013-12-24,222,-15,-3
2013-12-25,225,-14,-5
2013-12-26,229,-10,-7
2013-12-27,233,-8,-10
2013-12-28,239,-3,-12
2013-12-29,245,-1,-15
2013-12-30,250,2,-17
2013-12-31,255,3,-19
2014-01-01,260,5,-21
2014-01-02,266,7,-22
2014-01-03,271,9,-23
2014-01-04,277,11,-24
2014-01-05,282,14,-25
2014-01-06,286,16,-25
2014-01-07,291,21,-24
2014-01-08,295,26,-22
2014-01-09,298,29,-21
2014-01-10,302,36,-21
2014-01-11,304,41,-19
2014-01-12,307,47,-19
2014-01-13,309,53,-17
2014-01-14,313,62,-16
2014-01-15,315,68,-14
2014-01-16,316,75,-11
2014-01-17,318,83,0
2014-01-18,317,88,1
2014-01-19,315,82,144
2014-01-20,311,78,141
2014-01-21,304,73,139
2014-01-22,295,67,142
2014-01-23,286,61,143
2014-01-24,271,52,142
2014-01-25,258,44,144
2014-01-26,245,37,144
2014-01-27,320,27,145
2014-01-28,321,19,146
2014-01-29,322,13,146
2014-01-30,322,8,147
2014-01-31,322,3,148
2014-02-01,322,0,148
2014-02-02,322,-5,147
2014-02-03,322,-8,145
2014-02-04,322,-13,142
2014-02-05,325,-14,136
2014-02-06,110,-13,130
2014-02-07,117,-14,121
2014-02-08,119,-15,114
2014-02-09,120,-18,109
2014-02-10,118,-21,105
2014-02-11,118,-23,100
2014-02-12,119,-26,96
2014-02-13,118,-29,90
2014-02-14,117,-32,84
2014-02-15,118,-34,80
2014-02-16,118,-36,74
2014-02-17,120,-37,69
2014-02-18,120,-38,65
2014-02-19,121,-39,61
2014-02-20,122,-38,56
2014-02-21,124,-37,53
2014-02-22,130,-32,48
2014-02-23,134,-29,43
2014-02-24,136,-28,40
2014-02-25,139,-28,36
2014-02-26,141,-27,32
2014-02-27,143,-26,28
2014-02-28,147,-24,26
2014-03-01,151,-23,24
2014-03-02,155,-21,22
2014-03-03,158,-20,20
2014-03-04,162,-19,19
2014-03-05,166,-19,17
2014-03-06,170,-16,16
2014-03-07,174,-14,14
2014-03-08,179,-12,12
2014-03-09,184,-10,10
2014-03-10,187,-9,8
2014-03-11,193,-7,6
2014-03-12,196,-7,5
2014-03-13,201,-5,4
2014-03-14,207,-1,4
2014-03-15,211,1,2
2014-03-16,216,5,2
2014-03-17,222,8,2
2014-03-18,228,11,0
2014-03-19,232,14,-1
2014-03-20,237,16,-3
2014-03-21,240,18,-4
2014-03-22,242,19,-4
2014-03-23,246,22,-5
2014-03-24,250,24,-5
2014-03-25,255,26,-5
2014-03-26,261,27,-5
2014-03-27,265,28,-4
2014-03-28,270,29,-4
2014-03-29,274,30,-2
2014-03-30,278,32,0
2014-03-31,282,35,3
2014-04-01,285,39,7
2014-04-02,287,42,11
2014-04-03,289,45,15
2014-04-04,290,49,20
2014-04-05,290,51,25
2014-04-06,288,55,34
2014-04-07,286,57,43
2014-04-08,282,59,55
2014-04-09,279,60,68
2014-04-10,275,59,76
2014-04-11,269,57,83
2014-04-12,259,52,93
2014-04-13,250,47,98
2014-04-14,241,41,106
2014-04-15,231,34,112
2014-04-16,221,28,115
2014-04-17,207,20,119
2014-04-18,195,14,121
2014-04-19,186,10,121
2014-04-20,177,5,121
2014-04-21,169,2,120
2014-04-22,163,0,119
2014-04-23,158,-3,116
2014-04-24,154,-6,114
2014-04-25,150,-9,110
2014-04-26,147,-11,107
2014-04-27,145,-13,105
2014-04-28,143,-16,102
2014-04-29,143,-18,98
2014-04-30,144,-20,94
2014-05-01,147,-22,88
2014-05-02,152,-23,80
2014-05-03,155,-24,74
2014-05-04,159,-26,67
2014-05-05,161,-27,60
2014-05-06,163,-27,55
2014-05-07,166,-25,50
2014-05-08,170,-22,46
2014-05-09,173,-19,42
2014-05-10,179,-14,38
2014-05-11,185,-5,33
2014-05-12,190,0,30
2014-05-13,196,9,28
2014-05-14,202,18,28
2014-05-15,206,24,28
2014-05-16,211,30,30
2014-05-17,215,36,33
2014-05-18,218,40,36
2014-05-19,224,48,40
2014-05-20,230,54,42
2014-05-21,237,61,43
2014-05-22,243,66,41
2014-05-23,247,69,36
2014-05-24,250,72,26
2014-05-25,254,72,11
2014-05-26,256,69,0
2014-05-27,259,64,-11
2014-05-28,262,60,-19
2014-05-29,263,55,-21
2014-05-30,261,49,-19
2014-05-31,256,44,-16
2014-06-01,250,41,-14
2014-06-02,244,35,-11
2014-06-03,239,31,-9
2014-06-04,236,26,-8
2014-06-05,229,20,-7
2014-06-06,222,14,-6
